tarefa,modelo,sentenca_id,posicao,token,tag_gold,tag_predita
ner,crf,c2003-1,2,JAPAN,B-LOC,B-ORG
ner,crf,c2003-1,4,LUCKY,O,B-ORG
ner,crf,c2003-1,5,WIN,O,I-ORG
ner,crf,c2003-1,7,CHINA,B-PER,B-ORG
ner,crf,c2003-1,9,SURPRISE,O,B-MISC
ner,crf,c2003-1,10,DEFEAT,O,I-MISC
ner,crf,c2003-3,0,AL-AIN,B-LOC,B-ORG
ner,crf,c2003-3,2,United,B-LOC,B-ORG
ner,crf,c2003-3,3,Arab,I-LOC,I-ORG
ner,crf,c2003-3,4,Emirates,I-LOC,I-ORG
ner,crf,c2003-4,6,Asian,B-MISC,B-LOC
ner,crf,c2003-4,7,Cup,I-MISC,B-LOC
ner,crf,c2003-4,12,2-1,O,B-MISC
ner,crf,c2003-4,18,Group,O,B-LOC
ner,crf,c2003-4,19,C,O,I-LOC
ner,crf,c2003-4,23,Friday,O,B-MISC
ner,crf,c2003-5,19,2-0,O,B-MISC
ner,crf,c2003-6,16,Uzbek,B-MISC,B-LOC
ner,crf,c2003-6,18,Igor,B-PER,B-LOC
ner,crf,c2003-6,19,Shkvyrin,I-PER,B-PER
ner,crf,c2003-6,34,Chinese,B-MISC,B-LOC
ner,crf,c2003-8,2,Soviet,B-MISC,B-LOC
ner,crf,c2003-8,8,Asian,B-MISC,B-LOC
ner,crf,c2003-8,9,Cup,I-MISC,I-LOC
ner,crf,c2003-9,3,Asian,B-MISC,B-LOC
ner,crf,c2003-9,4,Games,I-MISC,B-LOC
ner,crf,c2003-9,6,two,O,B-MISC
ner,crf,c2003-9,8,ago,O,B-MISC
ner,crf,c2003-11,14,Hiroshige,B-PER,B-LOC
ner,crf,c2003-11,15,Yanagimoto,I-PER,I-LOC
ner,crf,c2003-11,19,Syrian,B-MISC,B-LOC
ner,crf,c2003-11,23,Salem,B-PER,B-LOC
ner,crf,c2003-11,24,Bitar,I-PER,I-LOC
ner,crf,c2003-12,9,four,O,B-MISC
ner,crf,c2003-13,0,Defender,O,B-PER
ner,crf,c2003-13,1,Hassan,B-PER,I-PER
ner,crf,c2003-13,27,Bitar,B-PER,B-LOC
ner,crf,c2003-15,6,Syrian,B-MISC,B-LOC
ner,crf,c2003-15,18,Syrian,B-MISC,B-LOC
ner,crf,c2003-16,0,Bitar,B-PER,O
ner,crf,c2003-17,2,Shu,B-PER,I-LOC
ner,crf,c2003-17,3,Kamo,I-PER,B-PER
ner,crf,c2003-17,9,Syrian,B-MISC,B-LOC
ner,crf,c2003-18,1,Syrians,B-MISC,B-ORG
